task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
init_streamlit,2025-07-11T00:24:02,Plotting,3c68d950-8cf9-4c31-856f-eeb12d847fbf,4.961324399999285,0.00019184690508364268,3.869586109244578e-05,280.0,9.960426938168478,10.0,0.000385489253333718,1.3714733193996576e-05,1.3737654166672858e-05,0.00041294164069438747,Turkey,TUR,,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16,AMD Ryzen 7 6800HS with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3060 Laptop GPU,,,15.242271423339844,machine,N
plot_values,2025-07-11T00:24:23,Plotting,3c68d950-8cf9-4c31-856f-eeb12d847fbf,20.866516499998397,0.0008056868834654671,3.860915028399302e-05,280.0,9.189567530536902,10.0,0.0016229925366665861,5.3267542614005015e-05,5.794388611110561e-05,0.001734203965391697,Turkey,TUR,,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16,AMD Ryzen 7 6800HS with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3060 Laptop GPU,,,15.242271423339844,machine,N
